P21728 P21918
P05184 P21728
P08588 P18089
P07550 P18089
P05184 P18089
P08588 P18825
P07550 P18825
P08588 P08913
P07550 P08913
P55017 Q13621
P00915 Q13621
P00918 Q13621
P22748 Q13621
Q12791 Q13621
P00734 Q13621
P48048 Q13621
Q13621 Q14654
O15438 Q13621
O60706 Q13621
O95342 Q13621
O95477 Q13621
P13569 Q13621
P33527 Q13621
P48544 Q13621
P02768 P27169
P00915 P55017
P00918 P55017
P22748 P55017
P55017 Q12791
P00734 P55017
P48048 P55017
P55017 Q14654
O15438 P55017
O60706 P55017
O95342 P55017
O95477 P55017
P13569 P55017
P33527 P55017
P48544 P55017
P00915 P00918
P00915 P22748
P00915 Q12791
P00915 P48048
P00915 Q14654
O15438 P00915
O60706 P00915
O95342 P00915
O95477 P00915
P00915 P13569
P00915 P33527
P00915 P48544
P00918 P22748
P00918 Q12791
P00734 P00918
P00918 P48048
P00918 Q14654
O15438 P00918
O60706 P00918
O95342 P00918
O95477 P00918
P00918 P13569
P00918 P33527
P00918 P48544
P22748 Q12791
P00734 P22748
P22748 P48048
P22748 Q14654
O15438 P22748
O60706 P22748
O95342 P22748
O95477 P22748
P13569 P22748
P22748 P33527
P22748 P48544
P48048 Q12791
Q12791 Q14654
O15438 Q12791
O60706 Q12791
O95342 Q12791
O95477 Q12791
P13569 Q12791
P33527 Q12791
P48544 Q12791
P02763 P08588
P02763 P07550
P07550 P08588
P08588 P10145
P08588 P15692
P08588 P27361
P07550 P10145
P07550 P15692
P07550 P27361
P63000 Q92887
P00734 Q92887
P01375 Q92887
P01579 Q92887
P05184 Q92887
P13500 Q92887
P15692 Q92887
P25942 Q92887
P61586 Q92887
Q06643 Q92887
P04114 Q92887
P27169 Q92887
P29965 Q92887
P33993 Q92887
Q14566 Q92887
P53609 P63000
P53609 Q9Y6L6
P01579 P53609
P05231 P53609
P08254 P53609
P13500 P53609
P14780 P53609
P25942 P53609
P42574 P53609
P53609 P61586
P53609 Q06643
P53609 Q07869
P63000 Q9Y6L6
P01579 P63000
P25942 P63000
P63000 Q06643
P01579 Q9Y6L6
P05231 Q9Y6L6
P08254 Q9Y6L6
P10145 Q9Y6L6
P13500 Q9Y6L6
P14780 Q9Y6L6
P25942 Q9Y6L6
P27361 Q9Y6L6
P42574 Q9Y6L6
P61586 Q9Y6L6
Q06643 Q9Y6L6
Q07869 Q9Y6L6
Q99808 Q9Y6L6
P00734 P27169
P00734 P48048
P00734 Q14654
P00734 Q13131
O15438 P00734
O60706 P00734
O95342 P00734
O95477 P00734
P00734 P13569
P00734 P33527
P00734 P48544
P01375 P05184
P01375 P27169
P01375 P37231
P01375 Q13131
O60706 P01375
O95477 P01375
P04114 P05184
P05184 P27169
P05184 P29965
P05184 P37231
P05184 P33993
P05184 Q14566
P05231 P13569
P15692 P48048
P15692 P33527
P27169 Q13131
P37231 Q99808
P37231 Q13131
Q13131 Q99808
P48048 Q14654
O15438 P48048
O60706 P48048
O95342 P48048
O95477 P48048
P13569 P48048
P33527 P48048
P48048 P48544
O95342 Q14654
P13569 Q14654
P33527 Q14654
O95342 Q9Y478
O95342 Q13131
O15438 P13569
O95342 O95477
O95342 P13569
P13569 P33527
P13569 P48544
